Committee_Id,Committee_Name,Link_Image,Sponsor_Name,Cash_on_Hand,Coverage_End_Date,Total_Disbursement,Total_Receipt
"C00903708","WE THE PEOPLE FOR ILLINOIS","http://docquery.fec.gov/cgi-bin/fecimg/?C00903708","GOODMAN, JOHN","0","30-JUN-25","0","0"
"C00403592","NARRAGANSETT BAY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00403592","REED, JOHN","59911.97","31-MAR-26","445984.9","454751"
"C00323352","COMMITTEE FOR A LIVABLE FUTURE","http://docquery.fec.gov/cgi-bin/fecimg/?C00323352","","921392.44","31-MAR-26","259514.8","909014"
"C00915058","PATRIOT FUELS USA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00915058","","0","26-MAR-26","0","0"
"C00924399","VETS RISING","http://docquery.fec.gov/cgi-bin/fecimg/?C00924399","MILLER, ADAM CLAY","37353.63","31-MAR-26","44993.2","82346.8"
"C00923938","GRASSROOTS ORGANIZING FOR BETTER ELECTION RESULTS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00923938","GOBER, CHRIS","0","31-MAR-26","0","0"
"C00817825","RED HOOK PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00817825","","3204.34","31-MAR-26","42720.4","23196.9"
"C00794024","BETTER PATH FORWARD PAC, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?C00794024","HOGAN, LARRY","0","11-JAN-26","19241.2","2931.3"
"C00832568","HIGHWATER PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00832568","FLOOD, MIKE","36749.18","22-APR-26","234693.7","258370.3"
"C00919662","RIGHT FOR AMERICA LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00919662","JENSEN, DOUGLAS","0","31-MAR-26","0","0"
"C00654475","SMART SOLUTIONS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00654475","ROSEN, JACKY","319786.74","31-MAR-26","563763.5","710563.5"
"C00706176","YOUR OHIO REPUBLICAN TEAM","http://docquery.fec.gov/cgi-bin/fecimg/?C00706176","","34398.7","31-MAR-26","52325.8","70866.2"
"C00923235","MAKING AMERICA CONSERVATIVE AND SECURE (MACS PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00923235","MACLEOD, SCOTT","0","31-MAR-26","1399.5","1399.5"
"C00904391","SAVING AMERICAN DEMOCRACY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00904391","","44675.36","31-MAR-26","1501604.6","1546280"
"C00762930","BE VICTORIOUS OVER DEMOCRATS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00762930","","107317.44","31-MAR-26","176758","215500"
"C00378695","VICTORY IN NOVEMBER ELECTION PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00378695","THOMPSON, MIKE","108609.32","31-MAR-26","170143.1","215000"
"C00526046","PATRIOTS LEADING A MAJORITY","http://docquery.fec.gov/cgi-bin/fecimg/?C00526046","MEEHAN, PATRICK","30935.9","31-MAR-26","0","0"
"C00686816","AMERICA RELOADED","http://docquery.fec.gov/cgi-bin/fecimg/?C00686816","CRENSHAW, DANIEL","51180.67","31-MAR-26","98322.2","136083.7"
"C00921635","BE RESOLUTE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00921635","","0","31-DEC-25","0","0"
"C00921833","DONT GIVE UP THE SHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00921833","ELFRETH, SARAH KELLY","13763.04","31-MAR-26","13237","27000"
"C00921270","SERVICE HONOR FAMILY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00921270","CAHILL, JASON","15371","31-MAR-26","1000","16371"
"C00832501","AMERICAN EXCELLENCE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00832501","RICKETTS, PETE","547472.64","31-MAR-26","598116.4","719475.3"
"C00917468","MAKE AMERICA THRIVE TODAY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00917468","DAY, MATT","0","23-FEB-26","0","0"
"C00919258","TRUST, ACCOUNTABILITY, REFORM, AMERICA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00919258","DURANT, TARA ANNE","135.41","31-MAR-26","4580","4715.4"
"C00920553","OUR SERVICE YOUR FUTURE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00920553","OSYF, JAMES","0","31-DEC-25","6317.2","6317.2"
"C00654186","SOCK IT TO 'EM PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00654186","CURTIS, JOHN","203883.62","31-MAR-26","862909.5","754696.4"
"C00919506","CONSERVATIVE AMERICAN REPUBLICAN LEADERSHIP PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00919506","CARL, JERRY LEE","2230.74","31-MAR-26","7","2237.7"
"C00762328","FIGHT ON PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00762328","ARENHOLZ, ASHLEY HINSON","69054.13","31-MAR-26","376033.9","404193.3"
"C00889386","NB3 PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00889386","BEGICH, NICHOLAS","19352.19","31-MAR-26","70711.1","71818.3"
